GEO.id,GEO.id2,GEO.display-label,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC93,HC03_VC94,HC03_VC95,HC03_VC96,HC03_VC97,HC03_VC98,HC03_VC99,HC03_VC100,HC03_VC101,HC03_VC102
Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
8600000US77904,77904,ZCTA5 77904,26343,26.2,24.2,0.1,0.1,1.7,73.8,65.6,3.6,0.0,2.7,0.0,0.3,1.6,0.0,1.6
8600000US77905,77905,ZCTA5 77905,14349,28.7,25.9,0.0,0.2,2.6,71.3,64.6,4.2,0.1,0.5,0.0,0.0,2.0,0.0,1.9
8600000US77950,77950,ZCTA5 77950,188,39.4,38.3,0.0,0.0,1.1,60.6,57.4,2.7,0.0,0.0,0.0,0.0,0.5,0.0,0.5
8600000US77951,77951,ZCTA5 77951,2306,72.3,71.2,0.0,0.0,1.1,27.7,18.1,8.8,0.0,0.0,0.0,0.0,0.7,0.0,0.7
8600000US77954,77954,ZCTA5 77954,12027,33.7,31.7,0.0,0.0,2.0,66.3,51.8,14.2,0.1,0.0,0.0,0.0,0.2,0.0,0.2
8600000US77957,77957,ZCTA5 77957,8365,32.2,30.8,0.0,0.0,1.5,67.8,56.2,10.5,0.0,0.2,0.1,0.1,0.7,0.0,0.7
8600000US77960,77960,ZCTA5 77960,30,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77961,77961,ZCTA5 77961,185,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77962,77962,ZCTA5 77962,3299,32.4,32.1,0.0,0.0,0.2,67.6,60.2,4.2,0.0,0.3,0.0,0.0,2.8,0.0,2.8
8600000US77963,77963,ZCTA5 77963,5708,40.1,38.4,0.0,0.6,1.1,59.9,53.6,5.8,0.0,0.1,0.2,0.0,0.2,0.1,0.1
8600000US77964,77964,ZCTA5 77964,8259,7.9,7.7,0.0,0.0,0.2,92.1,84.7,6.4,0.0,0.6,0.0,0.0,0.4,0.0,0.4
8600000US77968,77968,ZCTA5 77968,2554,12.5,11.9,0.0,0.0,0.7,87.5,85.9,0.0,0.0,0.1,0.0,0.0,1.5,0.0,1.5
8600000US77969,77969,ZCTA5 77969,183,45.4,42.1,0.0,3.3,0.0,54.6,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77970,77970,ZCTA5 77970,344,32.8,32.8,0.0,0.0,0.0,67.2,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77971,77971,ZCTA5 77971,953,30.6,30.6,0.0,0.0,0.0,69.4,67.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.6
8600000US77973,77973,ZCTA5 77973,76,43.4,43.4,0.0,0.0,0.0,56.6,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77974,77974,ZCTA5 77974,484,28.9,27.7,0.0,0.0,1.2,71.1,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77975,77975,ZCTA5 77975,1967,22.8,22.3,0.0,0.0,0.5,77.2,76.3,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0
8600000US77976,77976,ZCTA5 77976,151,53.0,53.0,0.0,0.0,0.0,47.0,43.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77977,77977,ZCTA5 77977,851,73.7,73.2,0.5,0.0,0.0,26.3,15.7,9.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0
8600000US77978,77978,ZCTA5 77978,703,29.7,27.9,0.0,0.0,1.8,70.3,55.2,6.0,0.0,2.6,0.0,0.0,6.5,0.0,6.5
