GEO.id,GEO.id2,GEO.display-label,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HC03_VC85,HC03_VC86,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC93,HC03_VC94,HC03_VC95,HC03_VC96
Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
8600000US73430,73430,ZCTA5 73430,1278,5.4,5.4,0.0,0.0,0.0,94.6,84.1,0.0,4.2,0.5,0.0,0.0,5.8,0.0,5.8
8600000US73931,73931,ZCTA5 73931,698,3.2,3.2,0.0,0.0,0.0,96.8,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US73949,73949,ZCTA5 73949,1521,35.4,32.5,0.0,0.0,2.9,64.6,63.9,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.5
8600000US75001,75001,ZCTA5 75001,13033,29.9,22.9,0.5,0.5,6.0,70.1,49.7,11.4,0.2,7.3,1.0,0.0,0.5,0.1,0.4
8600000US75002,75002,ZCTA5 75002,64067,12.1,8.9,0.8,0.3,2.1,87.9,67.3,10.2,0.2,7.6,0.0,0.1,2.5,0.4,2.1
8600000US75006,75006,ZCTA5 75006,46557,45.1,35.6,1.1,0.7,7.6,54.9,39.4,7.1,0.5,7.1,0.0,0.2,0.7,0.0,0.7
8600000US75007,75007,ZCTA5 75007,51735,23.1,17.6,0.9,0.4,4.2,76.9,51.3,8.6,0.4,13.5,0.1,0.1,2.9,0.1,2.8
8600000US75009,75009,ZCTA5 75009,8342,19.6,17.9,0.7,0.0,1.0,80.4,74.3,2.7,2.7,0.2,0.0,0.0,0.6,0.2,0.3
8600000US75010,75010,ZCTA5 75010,22848,12.8,8.4,0.5,1.2,2.8,87.2,48.5,13.2,0.4,22.0,0.3,0.0,2.8,0.1,2.7
8600000US75013,75013,ZCTA5 75013,29971,5.6,3.8,0.2,0.4,1.2,94.4,67.7,3.3,0.9,19.6,0.1,0.6,2.1,0.1,2.0
8600000US75019,75019,ZCTA5 75019,39212,9.9,7.4,0.3,0.0,2.2,90.1,66.0,4.6,0.1,17.5,0.0,0.1,1.8,0.2,1.5
8600000US75020,75020,ZCTA5 75020,22525,9.4,8.9,0.0,0.0,0.5,90.6,77.7,8.0,1.7,0.4,0.1,0.8,2.0,0.0,2.0
8600000US75021,75021,ZCTA5 75021,8004,4.6,3.9,0.1,0.0,0.6,95.4,83.3,2.9,2.9,1.8,0.0,0.0,4.5,0.0,4.5
8600000US75022,75022,ZCTA5 75022,22449,8.9,5.0,1.3,0.0,2.6,91.1,76.7,2.2,0.2,11.1,0.0,0.0,1.0,0.0,1.0
8600000US75023,75023,ZCTA5 75023,46339,15.8,13.0,0.5,0.2,2.1,84.2,61.2,8.5,0.5,11.3,0.0,0.3,2.5,0.1,2.4
8600000US75024,75024,ZCTA5 75024,37708,6.6,2.9,0.4,0.3,2.9,93.4,53.0,6.7,0.3,31.3,0.1,0.1,1.9,0.1,1.8
8600000US75025,75025,ZCTA5 75025,51202,6.0,3.7,0.6,0.3,1.4,94.0,57.2,6.8,0.4,27.3,0.1,0.1,2.1,0.4,1.8
8600000US75028,75028,ZCTA5 75028,42878,8.5,5.8,0.3,0.3,2.1,91.5,79.1,4.4,0.5,5.6,0.0,0.3,1.5,0.2,1.4
8600000US75032,75032,ZCTA5 75032,29088,18.4,12.1,0.3,0.3,5.6,81.6,73.3,4.9,0.1,1.8,0.1,0.0,1.5,0.3,1.3
