GEO.id,GEO.id2,GEO.display-label,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC93,HC03_VC94,HC03_VC95,HC03_VC96,HC03_VC97,HC03_VC98,HC03_VC99,HC03_VC100,HC03_VC101,HC03_VC102
Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
8600000US73430,73430,ZCTA5 73430,1279,2.1,2.1,0.0,0.0,0.0,97.9,89.5,0.0,3.8,0.4,0.0,0.0,4.1,0.0,4.1
8600000US73931,73931,ZCTA5 73931,682,6.5,6.5,0.0,0.0,0.0,93.5,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US73949,73949,ZCTA5 73949,1571,32.8,30.3,0.0,0.0,2.5,67.2,67.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1
8600000US75001,75001,ZCTA5 75001,13214,27.8,21.9,0.7,0.5,4.6,72.2,50.7,13.1,0.2,7.3,0.1,0.0,0.8,0.2,0.6
8600000US75002,75002,ZCTA5 75002,65900,12.8,9.2,1.1,0.3,2.3,87.2,64.8,11.6,0.3,7.9,0.2,0.2,2.2,0.1,2.1
8600000US75006,75006,ZCTA5 75006,47590,47.4,38.7,1.1,0.3,7.3,52.6,37.0,7.0,0.3,7.5,0.0,0.2,0.7,0.0,0.7
8600000US75007,75007,ZCTA5 75007,51405,23.9,17.6,0.7,0.4,5.3,76.1,50.3,8.4,0.4,13.9,0.0,0.1,3.0,0.0,2.9
8600000US75009,75009,ZCTA5 75009,8975,19.0,17.0,0.5,0.0,1.4,81.0,76.4,1.9,1.5,0.2,0.0,0.0,1.0,0.2,0.8
8600000US75010,75010,ZCTA5 75010,24035,13.8,8.1,1.4,1.3,3.0,86.2,41.9,15.1,0.5,26.2,0.2,0.0,2.3,0.1,2.2
8600000US75013,75013,ZCTA5 75013,31388,6.8,4.2,0.5,0.8,1.3,93.2,67.8,2.7,0.9,18.3,0.1,0.6,2.8,0.1,2.7
8600000US75019,75019,ZCTA5 75019,39551,11.2,8.5,0.4,0.1,2.2,88.8,63.4,4.4,0.4,18.6,0.0,0.1,2.0,0.2,1.8
8600000US75020,75020,ZCTA5 75020,22343,8.3,7.1,0.2,0.0,1.0,91.7,80.2,7.0,1.3,0.4,0.2,0.7,2.0,0.0,2.0
8600000US75021,75021,ZCTA5 75021,8306,6.4,5.9,0.0,0.0,0.6,93.6,81.2,2.9,3.5,1.7,0.0,0.0,4.3,0.0,4.3
8600000US75022,75022,ZCTA5 75022,22884,9.5,5.5,0.9,0.1,3.0,90.5,76.6,2.0,0.3,10.1,0.0,0.0,1.4,0.2,1.3
8600000US75023,75023,ZCTA5 75023,46733,15.1,12.3,0.4,0.2,2.2,84.9,61.6,7.7,0.5,12.2,0.0,0.1,2.7,0.1,2.6
8600000US75024,75024,ZCTA5 75024,38889,7.3,3.7,0.3,0.2,3.1,92.7,52.2,6.4,0.5,31.7,0.1,0.2,1.7,0.2,1.6
8600000US75025,75025,ZCTA5 75025,51924,6.2,3.9,0.6,0.2,1.6,93.8,56.8,7.1,0.2,27.3,0.1,0.2,2.0,0.3,1.7
8600000US75028,75028,ZCTA5 75028,43753,8.1,5.8,0.4,0.3,1.7,91.9,79.5,3.8,0.5,6.1,0.0,0.4,1.4,0.0,1.4
8600000US75032,75032,ZCTA5 75032,29965,19.1,13.4,0.9,0.3,4.4,80.9,73.7,4.5,0.0,1.4,0.0,0.0,1.3,0.2,1.1
8600000US75034,75034,ZCTA5 75034,75490,13.8,9.9,0.5,0.3,3.1,86.2,67.5,6.9,0.4,9.1,0.0,0.2,2.3,0.1,2.2
8600000US75035,75035,ZCTA5 75035,51444,12.5,7.2,0.5,0.0,4.8,87.5,64.0,7.6,0.2,11.5,0.1,0.6,3.7,0.1,3.6
8600000US75038,75038,ZCTA5 75038,28161,22.9,15.3,1.0,0.2,6.5,77.1,22.8,26.5,0.1,25.1,0.1,0.3,2.2,0.5,1.7
8600000US75039,75039,ZCTA5 75039,12197,12.9,9.5,1.4,0.0,2.0,87.1,45.3,9.5,0.5,28.2,0.0,0.5,2.9,0.1,2.8
8600000US75040,75040,ZCTA5 75040,59792,44.6,37.4,0.4,0.3,6.5,55.4,27.0,11.6,0.2,11.1,0.1,0.1,5.3,0.0,5.3
8600000US75041,75041,ZCTA5 75041,30684,57.8,45.1,0.7,0.4,11.5,42.2,28.9,6.6,0.2,2.6,0.0,0.6,3.5,0.0,3.5
8600000US75042,75042,ZCTA5 75042,40185,55.3,49.4,0.6,0.0,5.3,44.7,19.7,9.1,0.1,11.8,0.0,0.3,3.8,0.1,3.6
8600000US75043,75043,ZCTA5 75043,58120,26.5,20.4,0.6,0.3,5.2,73.5,39.0,23.6,0.4,7.3,0.2,0.6,2.4,0.3,2.1
8600000US75044,75044,ZCTA5 75044,41578,19.9,14.2,0.5,0.2,4.9,80.1,46.7,10.5,0.1,17.6,0.0,0.1,5.1,0.1,4.9
8600000US75048,75048,ZCTA5 75048,20930,17.3,10.3,0.4,2.0,4.7,82.7,61.2,9.2,0.0,11.1,0.0,0.1,1.1,0.1,1.0
8600000US75050,75050,ZCTA5 75050,40652,53.0,47.4,0.9,0.1,4.6,47.0,30.8,12.2,0.3,2.5,0.0,0.4,0.8,0.1,0.8
8600000US75051,75051,ZCTA5 75051,41345,57.7,52.8,0.5,0.1,4.2,42.3,23.4,15.8,0.1,2.2,0.0,0.0,0.7,0.0,0.7
8600000US75052,75052,ZCTA5 75052,89743,34.8,29.5,1.1,0.2,4.0,65.2,28.6,25.2,0.4,9.5,0.0,0.2,1.3,0.1,1.2
8600000US75054,75054,ZCTA5 75054,6256,17.7,11.5,2.2,1.2,2.9,82.3,37.4,30.5,0.9,10.1,0.0,0.5,2.8,0.0,2.8
8600000US75056,75056,ZCTA5 75056,49514,17.3,12.4,0.3,0.3,4.4,82.7,62.4,5.1,0.4,12.3,0.0,0.2,2.2,0.1,2.1
8600000US75057,75057,ZCTA5 75057,13749,43.6,38.5,0.7,0.2,4.3,56.4,39.6,7.6,0.3,3.2,0.2,0.5,4.8,0.0,4.8
8600000US75058,75058,ZCTA5 75058,3238,17.0,15.5,0.0,0.0,1.5,83.0,79.7,0.6,0.0,0.4,1.1,0.0,1.2,0.0,1.2
8600000US75060,75060,ZCTA5 75060,46409,55.8,44.1,0.2,0.1,11.5,44.2,32.6,4.8,0.1,5.5,0.0,0.4,0.7,0.2,0.5
8600000US75061,75061,ZCTA5 75061,53233,63.4,44.0,0.5,0.3,18.6,36.6,23.3,8.9,0.1,3.5,0.0,0.2,0.7,0.0,0.7
8600000US75062,75062,ZCTA5 75062,46200,42.6,30.3,0.8,0.5,11.1,57.4,34.6,13.0,0.2,7.3,0.1,0.3,1.8,0.1,1.7
8600000US75063,75063,ZCTA5 75063,36425,8.7,5.9,0.8,0.0,2.0,91.3,32.2,17.0,0.4,38.0,0.0,0.6,3.1,0.3,2.8
