GEO.id,GEO.id2,GEO.display-label,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HC03_VC85,HC03_VC86,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC93,HC03_VC94,HC03_VC95,HC03_VC96
Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
8600000US73949,73949,ZCTA5 73949,1590,38.9,35.5,0.0,0.0,3.4,61.1,60.1,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.5
8600000US75001,75001,ZCTA5 75001,12510,31.2,25.7,0.4,0.0,5.2,68.8,51.0,11.1,0.0,5.2,1.1,0.0,0.3,0.0,0.3
8600000US75002,75002,ZCTA5 75002,62175,12.8,9.5,0.6,0.3,2.5,87.2,65.9,9.7,0.1,8.4,0.0,0.1,2.9,0.3,2.7
8600000US75006,75006,ZCTA5 75006,45931,45.2,36.0,1.0,0.5,7.7,54.8,39.2,7.3,0.4,6.9,0.0,0.2,0.9,0.0,0.9
8600000US75007,75007,ZCTA5 75007,50921,21.5,14.9,1.1,0.6,5.0,78.5,53.0,8.8,0.7,13.3,0.1,0.3,2.3,0.1,2.2
8600000US75009,75009,ZCTA5 75009,8418,20.5,19.2,0.6,0.0,0.7,79.5,75.2,1.3,2.5,0.0,0.0,0.0,0.5,0.2,0.3
8600000US75010,75010,ZCTA5 75010,22756,13.6,9.3,0.6,1.0,2.8,86.4,47.5,11.7,0.9,24.1,0.4,0.0,1.8,0.0,1.8
8600000US75013,75013,ZCTA5 75013,28059,5.3,3.3,0.6,0.3,1.2,94.7,69.0,4.2,0.7,18.9,0.0,0.1,1.7,0.2,1.5
8600000US75019,75019,ZCTA5 75019,38797,11.3,8.8,0.3,0.1,2.1,88.7,65.5,4.7,0.1,16.7,0.0,0.3,1.4,0.2,1.2
8600000US75020,75020,ZCTA5 75020,22691,9.2,8.7,0.2,0.0,0.3,90.8,76.9,8.6,1.8,0.8,0.0,0.2,2.5,0.0,2.4
8600000US75021,75021,ZCTA5 75021,8212,3.8,3.4,0.1,0.0,0.2,96.2,82.9,5.8,2.3,1.3,0.0,0.0,3.9,0.0,3.9
8600000US75022,75022,ZCTA5 75022,22132,8.8,5.1,1.3,0.2,2.3,91.2,79.1,1.7,0.2,8.9,0.0,0.0,1.2,0.0,1.2
8600000US75023,75023,ZCTA5 75023,46001,16.0,13.7,0.4,0.1,1.7,84.0,63.1,8.1,0.5,10.4,0.0,0.2,1.6,0.1,1.5
8600000US75024,75024,ZCTA5 75024,35478,6.6,2.4,0.6,0.3,3.3,93.4,56.3,5.7,0.2,29.5,0.1,0.1,1.4,0.0,1.4
8600000US75025,75025,ZCTA5 75025,50894,6.6,3.9,0.5,0.5,1.7,93.4,59.9,5.8,0.3,25.1,0.1,0.3,1.9,0.3,1.6
8600000US75028,75028,ZCTA5 75028,42198,9.0,6.0,0.4,0.2,2.4,91.0,78.5,4.7,0.5,5.8,0.1,0.3,1.1,0.1,0.9
8600000US75032,75032,ZCTA5 75032,28271,18.5,11.9,0.2,0.3,6.0,81.5,73.7,5.2,0.1,1.7,0.1,0.0,0.8,0.0,0.8
8600000US75034,75034,ZCTA5 75034,66738,14.0,10.5,0.3,0.4,2.8,86.0,67.3,7.3,0.6,8.1,0.0,0.0,2.6,0.1,2.5
8600000US75035,75035,ZCTA5 75035,45684,11.6,7.0,0.1,0.2,4.3,88.4,66.7,8.2,0.2,10.0,0.0,0.6,2.6,0.1,2.5
8600000US75038,75038,ZCTA5 75038,26696,20.3,13.9,0.7,0.0,5.6,79.7,25.3,24.7,0.0,26.6,0.3,0.4,2.3,0.4,1.9
8600000US75039,75039,ZCTA5 75039,9438,14.3,8.4,2.9,0.0,3.0,85.7,50.0,8.1,0.6,23.1,0.0,0.6,3.3,0.3,2.9
8600000US75040,75040,ZCTA5 75040,59208,41.7,35.7,0.5,0.3,5.2,58.3,29.7,13.2,0.1,10.0,0.1,0.1,5.1,0.1,5.0
8600000US75041,75041,ZCTA5 75041,29202,56.4,45.4,0.8,0.2,10.0,43.6,30.4,7.6,0.3,2.6,0.0,0.7,2.1,0.0,2.1
8600000US75042,75042,ZCTA5 75042,38626,50.6,45.3,0.4,0.0,4.9,49.4,22.7,13.9,0.1,9.3,0.0,0.5,2.8,0.0,2.8
8600000US75043,75043,ZCTA5 75043,57259,27.8,21.3,0.7,0.0,5.8,72.2,39.6,21.8,0.3,7.1,0.2,0.5,2.8,0.4,2.4
8600000US75044,75044,ZCTA5 75044,41234,19.3,14.1,0.3,0.2,4.6,80.7,49.8,9.7,0.1,16.5,0.0,0.0,4.5,0.3,4.2
8600000US75048,75048,ZCTA5 75048,19310,17.8,11.4,0.6,0.1,5.8,82.2,62.5,9.3,0.3,8.6,0.0,0.0,1.6,0.2,1.4
8600000US75050,75050,ZCTA5 75050,39375,47.1,41.6,0.5,0.3,4.6,52.9,37.7,11.8,0.4,2.1,0.0,0.2,0.7,0.0,0.6
8600000US75051,75051,ZCTA5 75051,38989,56.7,52.2,0.4,0.2,3.9,43.3,24.5,14.9,0.2,2.3,0.0,0.0,1.2,0.1,1.1
8600000US75052,75052,ZCTA5 75052,87647,34.2,28.3,1.0,0.2,4.8,65.8,31.0,22.8,0.4,9.7,0.1,0.3,1.5,0.1,1.4
8600000US75054,75054,ZCTA5 75054,4244,16.5,11.5,2.8,0.0,2.2,83.5,52.7,17.9,0.2,8.8,0.0,0.7,3.2,0.0,3.2
8600000US75056,75056,ZCTA5 75056,46421,19.1,12.6,0.4,0.0,6.2,80.9,59.9,5.9,0.3,11.5,0.1,0.1,3.1,0.0,3.1
8600000US75057,75057,ZCTA5 75057,12911,44.4,40.9,0.0,0.0,3.5,55.6,44.3,6.3,0.4,2.4,0.0,0.0,2.1,0.0,2.1
8600000US75058,75058,ZCTA5 75058,3075,13.1,12.9,0.0,0.0,0.1,86.9,84.4,1.0,0.0,0.6,0.7,0.0,0.2,0.0,0.2
8600000US75060,75060,ZCTA5 75060,45866,54.7,42.7,0.1,0.1,11.7,45.3,32.9,5.2,0.3,5.8,0.0,0.5,0.7,0.1,0.5
8600000US75061,75061,ZCTA5 75061,52571,63.7,44.3,0.5,0.2,18.6,36.3,25.4,7.2,0.1,2.6,0.0,0.2,0.6,0.0,0.6
8600000US75062,75062,ZCTA5 75062,44774,41.6,30.3,0.7,0.5,10.1,58.4,36.4,12.7,0.0,7.5,0.0,0.4,1.4,0.0,1.4
8600000US75063,75063,ZCTA5 75063,35826,8.7,6.1,0.5,0.1,2.0,91.3,34.1,15.9,0.4,38.0,0.1,0.5,2.3,0.1,2.2
8600000US75065,75065,ZCTA5 75065,10764,15.9,11.9,0.2,0.0,3.8,84.1,76.0,2.3,0.2,2.1,0.2,0.2,3.2,0.0,3.2
8600000US75067,75067,ZCTA5 75067,59936,29.6,24.8,1.0,0.2,3.6,70.4,49.1,11.0,0.1,7.9,0.2,0.0,2.2,0.2,2.0
8600000US75068,75068,ZCTA5 75068,32804,23.3,16.1,0.5,0.1,6.6,76.7,56.3,14.7,0.2,2.5,0.0,0.0,3.0,0.2,2.8
8600000US75069,75069,ZCTA5 75069,33267,37.6,34.0,0.3,0.2,3.1,62.4,49.9,9.2,0.2,1.6,0.0,0.5,1.1,0.0,1.0
8600000US75070,75070,ZCTA5 75070,70901,8.6,6.3,0.1,0.1,2.1,91.4,74.2,8.4,0.4,6.6,0.0,0.3,1.6,0.0,1.6
