GEO.id,GEO.id2,GEO.display-label,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC93,HC03_VC94,HC03_VC95,HC03_VC96,HC03_VC97,HC03_VC98,HC03_VC99,HC03_VC100,HC03_VC101,HC03_VC102
Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
8600000US73430,73430,ZCTA5 73430,1265,0.0,0.0,0.0,0.0,0.0,100.0,90.4,0.0,4.0,1.1,0.0,0.0,4.4,0.0,4.4
8600000US73931,73931,ZCTA5 73931,605,6.6,6.6,0.0,0.0,0.0,93.4,93.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US73949,73949,ZCTA5 73949,1439,33.8,32.2,0.0,0.0,1.7,66.2,65.9,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1
8600000US75001,75001,ZCTA5 75001,13766,25.2,19.6,1.1,0.6,3.9,74.8,53.7,10.0,0.2,9.3,0.1,0.0,1.5,0.1,1.4
8600000US75002,75002,ZCTA5 75002,66679,12.9,9.6,1.3,0.2,1.9,87.1,66.4,9.2,0.5,8.4,0.1,0.1,2.4,0.1,2.2
8600000US75006,75006,ZCTA5 75006,48583,49.5,39.7,1.1,0.5,8.1,50.5,35.4,7.3,0.2,6.8,0.0,0.1,0.6,0.0,0.6
8600000US75007,75007,ZCTA5 75007,52541,24.5,18.9,0.6,0.5,4.4,75.5,49.3,8.2,0.3,14.9,0.0,0.2,2.6,0.0,2.6
8600000US75009,75009,ZCTA5 75009,9196,18.9,16.3,0.5,0.0,2.1,81.1,75.1,2.5,1.0,0.7,0.0,0.0,1.8,0.2,1.6
8600000US75010,75010,ZCTA5 75010,23752,14.2,8.4,1.7,1.2,3.0,85.8,42.6,13.4,0.7,25.6,0.5,0.0,3.0,0.2,2.9
8600000US75013,75013,ZCTA5 75013,33889,6.1,3.2,0.5,0.8,1.6,93.9,66.6,3.5,0.7,19.9,0.0,0.6,2.7,0.1,2.6
8600000US75019,75019,ZCTA5 75019,40021,11.3,8.3,0.4,0.2,2.4,88.7,61.9,5.1,0.3,19.4,0.0,0.1,1.9,0.0,1.9
8600000US75020,75020,ZCTA5 75020,22286,8.0,7.1,0.1,0.0,0.8,92.0,79.1,7.8,1.3,0.6,0.1,0.6,2.5,0.0,2.5
8600000US75021,75021,ZCTA5 75021,8264,8.6,8.2,0.0,0.0,0.4,91.4,79.8,2.7,2.8,1.9,0.1,0.0,4.0,0.0,4.0
8600000US75022,75022,ZCTA5 75022,23143,9.4,6.3,0.8,0.4,1.9,90.6,74.6,1.9,0.1,12.3,0.0,0.2,1.6,0.3,1.4
8600000US75023,75023,ZCTA5 75023,46431,14.7,11.9,0.4,0.3,2.1,85.3,62.6,7.3,0.3,11.7,0.0,0.1,3.2,0.1,3.0
8600000US75024,75024,ZCTA5 75024,39839,7.1,3.8,0.3,0.1,3.0,92.9,51.1,6.3,0.5,32.6,0.0,0.2,2.1,0.2,1.9
8600000US75025,75025,ZCTA5 75025,52758,6.4,4.0,0.4,0.1,1.9,93.6,56.4,8.1,0.2,26.6,0.0,0.2,2.1,0.2,1.9
8600000US75028,75028,ZCTA5 75028,44588,8.2,5.8,0.3,0.2,2.0,91.8,77.1,4.7,0.7,7.5,0.0,0.4,1.4,0.0,1.4
8600000US75032,75032,ZCTA5 75032,30494,18.7,12.4,1.6,0.2,4.4,81.3,72.2,5.4,0.1,1.5,0.0,0.0,2.1,0.2,1.9
8600000US75034,75034,ZCTA5 75034,80917,14.9,10.5,0.6,0.4,3.4,85.1,64.7,6.8,0.4,10.2,0.1,0.3,2.6,0.1,2.5
8600000US75035,75035,ZCTA5 75035,53620,12.5,7.3,0.4,0.1,4.8,87.5,61.6,8.5,0.1,13.4,0.0,0.5,3.4,0.2,3.2
8600000US75038,75038,ZCTA5 75038,29282,24.9,15.0,1.0,0.3,8.6,75.1,20.5,24.6,0.1,26.9,0.1,0.6,2.3,0.6,1.8
8600000US75039,75039,ZCTA5 75039,13410,13.2,9.1,1.7,0.2,2.2,86.8,42.3,8.6,0.7,31.9,0.0,0.5,2.8,0.2,2.6
8600000US75040,75040,ZCTA5 75040,60638,45.3,37.0,0.5,0.2,7.6,54.7,26.7,12.2,0.3,11.0,0.1,0.1,4.4,0.0,4.4
8600000US75041,75041,ZCTA5 75041,32153,60.6,48.9,0.2,0.5,11.1,39.4,26.8,7.1,0.2,1.9,0.0,0.4,3.0,0.0,3.0
8600000US75042,75042,ZCTA5 75042,39230,52.8,47.2,0.6,0.1,5.0,47.2,21.7,8.8,0.2,12.5,0.0,0.4,3.6,0.1,3.4
8600000US75043,75043,ZCTA5 75043,59179,29.1,22.6,0.7,0.2,5.5,70.9,38.5,21.7,0.3,7.4,0.2,0.4,2.4,0.3,2.1
8600000US75044,75044,ZCTA5 75044,41222,19.9,14.1,0.2,0.2,5.3,80.1,44.7,9.7,0.2,19.8,0.0,0.1,5.6,0.1,5.4
8600000US75048,75048,ZCTA5 75048,21790,16.4,9.3,1.0,1.8,4.3,83.6,57.8,12.6,0.0,11.3,0.0,0.1,1.8,0.0,1.8
