Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,4086,23.0,77.0,0.0,0.0,0.0,0.0,100.0,0.35420000000000007,2015,Florence
76530,2550,23.7,71.7,2.5,0.0,0.2,1.9,100.00000000000001,0.4287519999999999,2015,Granger
76537,4314,31.9,65.1,1.7,0.1,0.3,0.8,99.89999999999999,0.47407500000000014,2015,Jarrell
76573,35,51.4,48.6,0.0,0.0,0.0,0.0,100.0,0.49960800000000005,2015,Schwertner
76574,18281,41.4,46.0,9.6,0.1,0.7,2.1,99.89999999999999,0.607297,2015,Taylor
76578,1360,25.7,66.4,6.1,0.0,0.0,1.8,100.0,0.48900999999999994,2015,Thrall
78602,25855,27.8,62.1,6.7,0.8,1.0,1.6,100.0,0.5321659999999999,2015,Bastrop
78610,29200,43.1,50.9,3.4,0.2,1.2,1.2000000000000002,100.00000000000001,0.55371,2015,Buda
78612,11622,39.7,42.2,15.9,0.3,1.6,0.3,100.0,0.638752,2015,Cedar Creek
78613,73448,16.4,69.0,4.0,0.3,7.7,2.5,99.9,0.4888410000000001,2015,Cedar Park
78615,1045,26.3,72.2,1.2,0.0,0.0,0.2,99.9,0.40939899999999996,2015,Coupland
78616,5693,51.3,42.5,3.7,0.3,0.0,2.2,100.0,0.5543440000000001,2015,Cedar Creek
78617,25473,66.4,17.8,10.8,0.1,2.1,2.9,100.1,0.514473,2015,Austin
78619,3824,11.4,88.0,0.2,0.0,0.4,0.0,100.00000000000001,0.212584,2015,Driftwood
78620,14614,12.4,85.0,0.3,0.1,0.7,1.5,100.0,0.2618400000000001,2015,Dripping Springs
78621,21735,38.9,50.0,8.5,0.0,0.7,1.9,100.00000000000001,0.5910439999999999,2015,Elgin
78622,243,50.6,48.1,1.2,0.0,0.0,0.0,99.9,0.512459,2015,Fentress
78626,28876,34.4,58.5,4.1,0.0,1.1,1.8,99.89999999999999,0.5373130000000002,2015,Georgetown
78628,26544,13.5,79.8,4.0,0.0,0.9,1.8,100.0,0.3429660000000001,2015,Georgetown
78633,21980,4.5,92.4,1.0,0.3,1.4,0.4,100.00000000000001,0.14387799999999984,2015,Georgetown
78634,26701,30.4,55.3,11.6,0.0,0.7,2.0,99.99999999999999,0.58787,2015,Hutto
78640,45772,51.2,41.8,4.8,0.1,0.6,1.4000000000000001,99.89999999999999,0.5605950000000002,2015,Kyle
78641,52984,25.0,67.1,3.3,0.3,1.7,2.6,99.99999999999999,0.48519600000000007,2015,Leander
78642,9879,12.2,84.9,0.6,0.1,0.5,1.6,99.89999999999999,0.2639969999999997,2015,Liberty Hill
78644,18282,52.1,40.1,6.2,0.1,0.4,1.0,99.9,0.5637969999999999,2015,Lockhart
78645,10274,13.2,83.3,0.9,0.3,0.3,2.0,100.0,0.288188,2015,Lago Vista
78648,7824,34.5,58.5,6.6,0.2,0.1,0.1,99.99999999999999,0.5343880000000001,2015,Luling
78650,1985,44.5,55.0,0.3,0.0,0.0,0.2,100.0,0.49946199999999996,2015,Mc Dade
78652,5355,32.3,64.4,1.6,0.0,1.6,0.0,99.89999999999999,0.48042299999999993,2015,San Leanna
78653,19072,51.2,22.2,24.3,0.0,0.7,1.5,99.9,0.629249,2015,Manor
78655,3574,69.1,26.8,3.9,0.0,0.0,0.3,100.1,0.44916500000000004,2015,Martindale
78656,2309,70.3,28.4,1.3,0.0,0.0,0.0,99.99999999999999,0.42496600000000007,2015,Maxwell
78659,3118,13.7,81.9,3.6,0.9,0.0,0.0,100.10000000000001,0.30909299999999995,2015,Paige
78660,79067,30.7,44.4,14.2,0.3,8.7,1.6,99.89999999999999,0.680617,2015,Pflugerville
78661,382,50.3,35.6,14.1,0.0,0.0,0.0,100.0,0.600374,2015,Prairie Lea
78662,2982,10.6,89.0,0.0,0.0,0.0,0.4,100.0,0.19664799999999993,2015,Red Rock
78664,59765,36.3,44.3,12.3,0.2,4.8,2.2,100.1,0.654061,2015,Round Rock
78665,41517,24.0,55.0,11.4,0.1,7.6,1.8,99.89999999999999,0.620803,2015,Round Rock
78666,72866,42.5,49.0,4.7,0.5,1.4000000000000001,2.0,100.10000000000001,0.5764450000000001,2015,San Marcos
78669,9303,7.6,89.5,1.1,0.0,1.2,0.6,99.99999999999999,0.1928979999999999,2015,Spicewood
78676,12413,8.4,87.0,1.1,0.6,0.8,2.2,100.1,0.23533899999999996,2015,Wimberley
78681,54923,20.8,63.6,4.7,0.5,7.4,3.0,100.00000000000001,0.54363,2015,Round Rock
78701,7051,14.1,69.3,3.8,0.2,9.4,3.2,100.0,0.48856200000000005,2015,Austin
78702,21477,50.7,32.2,12.9,0.1,2.1,1.9,99.9,0.621823,2015,Austin
78703,20530,9.1,80.2,1.4,0.5,6.5,2.3000000000000003,100.0,0.34353999999999985,2015,Austin
78704,44668,26.7,65.8,2.8,0.1,2.6,1.9,99.89999999999999,0.49392500000000006,2015,Austin
78705,32346,17.7,60.3,5.0,0.3,13.9,2.8,100.0,0.5824480000000001,2015,Austin
78712,828,20.3,58.6,11.2,0.0,5.6,4.3,100.0,0.597866,2015,Austin
78717,26072,13.5,59.2,3.3,0.0,20.4,3.6,100.0,0.5873099999999999,2015,Austin
78719,1485,72.5,26.7,0.0,0.0,0.0,0.8,100.0,0.403022,2015,Austin
78721,12508,52.7,15.1,28.8,0.5,1.3,1.6,99.99999999999999,0.6160760000000001,2015,Austin
78722,7006,16.5,62.9,12.1,0.0,5.0,3.5,100.0,0.5587679999999999,2015,Austin
78723,32155,43.3,32.6,20.2,0.2,1.9,1.8,100.00000000000001,0.6647419999999999,2015,Austin
