Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,3752,28.4,71.6,0.0,0.0,0.0,0.0,100.0,0.40668800000000005,2016,Florence
76530,2160,19.6,75.6,3.2,0.0,0.0,1.5,99.89999999999999,0.3887990000000001,2016,Granger
76537,4774,30.1,64.3,3.2,0.0,0.4,1.9,99.90000000000002,0.494549,2016,Jarrell
76573,23,78.3,21.7,0.0,0.0,0.0,0.0,100.0,0.33982200000000007,2016,Schwertner
76574,18502,35.4,49.3,11.2,0.1,0.8,3.2,99.99999999999999,0.618002,2016,Taylor
76578,1482,26.7,66.9,5.0,0.0,0.0,1.4,100.00000000000001,0.47845399999999993,2016,Thrall
78602,27043,27.5,62.1,6.9,0.7,1.4,1.4000000000000001,100.00000000000001,0.533532,2016,Bastrop
78610,30452,41.9,50.8,3.9,0.0,1.7,1.7,100.0,0.564276,2016,Buda
78612,12369,46.0,41.8,10.5,0.3,1.0,0.4,100.0,0.602526,2016,Cedar Creek
78613,75279,17.8,67.0,3.5,0.2,8.3,3.1999999999999997,100.0,0.5102739999999999,2016,Cedar Park
78615,1040,29.7,68.7,1.4,0.0,0.0,0.2,100.00000000000001,0.43962199999999996,2016,Coupland
78616,6620,56.4,35.9,3.8,0.3,0.0,3.5999999999999996,99.99999999999999,0.550274,2016,Cedar Creek
78617,26126,72.2,14.9,9.9,0.1,1.3,1.7000000000000002,100.10000000000001,0.44625500000000007,2016,Austin
78619,3585,11.0,87.1,0.3,0.0,0.9,0.6,99.89999999999999,0.22913299999999992,2016,Driftwood
78620,15140,13.0,84.7,0.2,0.1,0.5,1.5,100.0,0.2654359999999999,2016,Dripping Springs
78621,22185,38.4,48.6,11.0,0.0,0.5,1.5,100.0,0.603998,2016,Elgin
78622,265,46.8,52.8,0.4,0.0,0.0,0.0,100.0,0.502176,2016,Fentress
78626,30163,35.3,58.5,3.8,0.0,1.1,1.4000000000000001,100.1,0.5314050000000001,2016,Georgetown
78628,27637,15.1,80.1,2.7,0.0,0.9,1.2,100.0,0.33464400000000005,2016,Georgetown
78633,23369,5.4,91.3,1.1,0.5,1.1,0.6,99.99999999999999,0.16321200000000002,2016,Georgetown
78634,28479,30.7,53.4,11.9,0.2,2.1,1.7,100.0,0.6056999999999999,2016,Hutto
78640,48804,50.7,41.9,5.0,0.2,0.5,1.7,100.0,0.5645720000000001,2016,Kyle
78641,55933,23.8,67.0,3.3,0.4,2.1,3.3000000000000003,99.89999999999999,0.49182099999999984,2016,Leander
