Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,4154,20.2,79.4,0.0,0.0,0.4,0.0,100.00000000000001,0.3287439999999999,2014,Florence
76530,2645,23.7,73.9,1.6,0.0,0.2,0.6,100.0,0.3974139999999998,2014,Granger
76537,3939,27.0,69.4,1.9,0.1,0.2,1.4000000000000001,100.00000000000001,0.4449019999999999,2014,Jarrell
76573,34,52.9,47.1,0.0,0.0,0.0,0.0,100.0,0.4983179999999999,2014,Schwertner
76574,18135,35.3,51.9,9.9,0.0,0.4,2.5,100.0,0.595588,2014,Taylor
76578,1381,22.8,66.8,6.2,0.0,0.0,4.1,99.89999999999999,0.496267,2014,Thrall
78602,25444,26.5,61.8,8.4,0.9,1.1,1.4,100.10000000000001,0.540397,2014,Bastrop
78610,26991,41.7,53.2,2.7,0.2,0.8,1.3,99.9,0.5421209999999999,2014,Buda
78612,12032,40.2,44.8,13.1,0.4,1.1,0.4,100.0,0.620378,2014,Cedar Creek
78613,70764,14.4,70.3,4.7,0.2,7.5,3.0,100.10000000000001,0.476317,2014,Cedar Park
78615,970,22.3,77.1,0.3,0.0,0.0,0.3,99.99999999999999,0.35581200000000013,2014,Coupland
78616,5448,47.5,48.3,1.8,0.3,0.0,2.1,99.99999999999999,0.540312,2014,Cedar Creek
78617,23025,66.1,19.2,11.0,0.3,1.5,1.9,100.0,0.5135200000000002,2014,Austin
78619,3805,5.2,94.4,0.2,0.0,0.3,0.0,100.10000000000001,0.10614699999999977,2014,Driftwood
78620,14104,12.1,84.4,0.3,0.4,0.5,2.3,100.0,0.2724439999999997,2014,Dripping Springs
78621,22289,37.7,50.1,8.3,0.1,0.5,3.2,99.9,0.598931,2014,Elgin
78622,247,59.1,40.9,0.0,0.0,0.0,0.0,100.0,0.48343800000000003,2014,Fentress
78626,28092,39.5,54.2,3.8,0.1,0.9,1.5,100.0,0.54846,2014,Georgetown
78628,24856,15.4,79.4,3.4,0.0,0.6,1.2000000000000002,100.00000000000001,0.3445119999999998,2014,Georgetown
78633,19593,5.0,92.0,0.8,0.5,1.2000000000000002,0.3,99.8,0.15085799999999983,2014,Georgetown
78634,25421,32.7,53.1,11.7,0.0,0.4,2.1,100.00000000000001,0.5969639999999999,2014,Hutto
78640,45136,52.8,39.6,5.6,0.2,0.6,1.2000000000000002,100.0,0.56108,2014,Kyle
78641,51247,25.3,67.5,2.6,0.4,1.8,2.5,100.1,0.47872499999999996,2014,Leander
78642,9867,14.2,83.2,0.7,0.1,0.5,1.2,99.9,0.2873929999999997,2014,Liberty Hill
78644,17276,49.6,41.4,7.4,0.1,0.4,1.1,100.0,0.5769740000000001,2014,Lockhart
78645,10312,11.9,85.3,1.2,0.3,0.3,1.2,100.2,0.25792399999999993,2014,Lago Vista
78648,8238,37.0,55.8,6.9,0.1,0.0,0.1,99.89999999999999,0.5469730000000002,2014,Luling
78650,1937,38.4,61.1,0.4,0.0,0.0,0.2,100.10000000000001,0.47920300000000005,2014,Mc Dade
78652,5408,33.7,62.7,1.7,0.0,1.2,0.8,100.10000000000001,0.49280499999999994,2014,San Leanna
78653,17968,45.0,27.6,23.1,0.0,1.9,2.4,100.0,0.6670259999999999,2014,Manor
78655,4006,68.7,28.1,2.9,0.0,0.0,0.3,100.00000000000001,0.44821999999999984,2014,Martindale
78656,2194,69.8,28.9,1.3,0.0,0.0,0.0,99.99999999999999,0.4291060000000001,2014,Maxwell
78659,2870,13.8,81.7,3.4,0.0,1.1,0.0,100.0,0.31218999999999986,2014,Paige
78660,77046,29.6,45.4,14.3,0.3,9.1,1.5,100.19999999999999,0.6773040000000001,2014,Pflugerville
78661,333,45.9,36.0,18.0,0.0,0.0,0.0,99.9,0.627319,2014,Prairie Lea
78662,3048,17.8,81.2,0.0,0.0,0.0,1.0,100.0,0.3088719999999999,2014,Red Rock
78664,58959,36.8,44.6,11.1,0.1,4.6,2.6,99.79999999999998,0.6505460000000001,2014,Round Rock
78665,38829,23.4,57.1,9.8,0.2,7.8,1.7,100.0,0.6032219999999999,2014,Round Rock
78666,68704,42.1,49.6,4.4,0.4,1.4000000000000001,2.1,100.00000000000001,0.5741539999999999,2014,San Marcos
78669,8909,6.8,89.6,2.5,0.0,0.4,0.7,100.0,0.1918700000000002,2014,Spicewood
78676,12215,7.5,88.4,1.2,0.3,0.9,1.8,100.10000000000001,0.2123609999999999,2014,Wimberley
78681,54517,20.0,64.9,4.4,0.5,7.3,2.9,100.00000000000001,0.5306679999999999,2014,Round Rock
78701,6188,14.5,68.4,4.9,0.0,9.5,2.6,99.9,0.49901699999999993,2014,Austin
78702,21855,53.4,29.9,13.5,0.1,1.2,1.9,100.0,0.606712,2014,Austin
78703,20061,8.4,81.2,1.5,0.7,6.1,2.1,100.0,0.329164,2014,Austin
78704,42770,26.5,66.9,2.6,0.2,1.8,1.9,99.9,0.48084899999999997,2014,Austin
78705,31735,18.6,59.9,4.4,0.1,14.4,2.6,100.0,0.583254,2014,Austin
78712,557,20.3,61.8,8.8,0.0,6.3,2.9,100.1,0.5643130000000001,2014,Austin
78717,25427,13.0,61.8,3.0,0.0,19.1,3.1,100.0,0.5628340000000001,2014,Austin
78719,1807,70.9,26.1,3.0,0.0,0.0,0.0,100.0,0.42829799999999985,2014,Austin
78721,12087,52.0,15.0,30.1,0.6,0.7,1.7000000000000002,100.1,0.616125,2014,Austin
78722,6514,20.1,62.2,11.0,0.7,3.9,2.0,99.90000000000002,0.558645,2014,Austin
78723,30955,43.4,30.4,22.3,0.2,1.8,1.8,99.89999999999999,0.668847,2014,Austin
78724,23313,65.8,7.9,24.5,0.1,0.3,1.3,99.89999999999999,0.5005910000000002,2014,Austin
78725,7612,38.3,19.1,40.0,0.0,0.5,2.0,99.9,0.656405,2014,Austin
78726,12786,16.2,63.9,3.6,0.0,14.7,1.7,100.1,0.542241,2014,Austin
78727,29506,17.8,54.3,6.5,0.5,17.4,3.6,100.1,0.637645,2014,Austin
