Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,3633,18.8,79.5,0.0,0.1,1.2,0.5,100.1,0.3324609999999998,2012,Florence
76530,2345,20.0,73.3,6.0,0.0,0.5,0.1,99.89999999999999,0.41908499999999993,2012,Granger
76537,3803,29.5,64.5,1.0,0.5,0.9,3.7,100.10000000000001,0.495375,2012,Jarrell
76573,45,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2012,Schwertner
76574,17775,34.5,53.6,8.9,0.0,2.0,1.0,100.0,0.5852580000000001,2012,Taylor
76578,1714,14.5,80.5,2.3,0.0,0.0,2.6,99.89999999999999,0.32974499999999995,2012,Thrall
78602,25594,23.3,64.5,9.2,0.4,0.8,1.8,100.0,0.520818,2012,Bastrop
78610,24313,36.6,59.1,2.0,0.2,0.7999999999999999,1.4,100.10000000000001,0.5160990000000001,2012,Buda
78612,11564,39.7,50.3,7.8,0.0,1.2,1.0,100.0,0.583054,2012,Cedar Creek
78613,65178,15.7,70.3,4.9,0.2,6.6,2.2,99.9,0.473897,2012,Cedar Park
78615,814,3.9,95.2,0.0,0.0,0.0,0.9,100.00000000000001,0.0920939999999999,2012,Coupland
78616,6289,41.7,55.0,2.2,0.4,0.0,0.8,100.10000000000001,0.5230469999999998,2012,Cedar Creek
78617,19553,66.8,20.8,8.8,0.3,1.1,2.1,99.89999999999998,0.502197,2012,Austin
78619,3504,5.1,94.3,0.0,0.0,0.3,0.4,100.1,0.10812500000000003,2012,Driftwood
78620,14483,12.0,85.4,0.7,0.4,0.7,0.8,100.00000000000001,0.25610599999999983,2012,Dripping Springs
78621,21352,37.5,48.8,10.4,0.2,0.5,2.7,100.10000000000001,0.6096570000000001,2012,Elgin
78622,241,72.6,27.4,0.0,0.0,0.0,0.0,100.0,0.397848,2012,Fentress
78626,27412,39.4,53.2,5.3,0.1,0.7,1.4000000000000001,100.1,0.558685,2012,Georgetown
78628,23288,17.7,77.5,2.4,0.0,1.2,1.3,100.10000000000001,0.36715699999999996,2012,Georgetown
78633,17556,4.7,93.2,0.6,0.4,0.6,0.4,99.9,0.12906299999999982,2012,Georgetown
78634,22731,31.8,55.9,10.7,0.1,0.3,1.2,100.0,0.5747920000000002,2012,Hutto
78640,42080,55.8,37.5,4.5,0.2,1.0,1.0,100.0,0.5457820000000001,2012,Kyle
78641,47490,22.7,70.3,3.4,0.1,1.9,1.6,100.0,0.452488,2012,Leander
78642,9175,14.4,80.7,0.7,0.6,0.4,3.2,100.00000000000001,0.3268899999999998,2012,Liberty Hill
78644,16820,46.9,43.6,8.0,0.5,0.0,0.9,99.9,0.583437,2012,Lockhart
78645,10012,12.7,85.0,1.1,0.2,0.1,0.9,100.0,0.26116400000000006,2012,Lago Vista
78648,7971,35.3,54.7,9.9,0.0,0.0,0.1,100.0,0.56638,2012,Luling
78650,1622,29.8,69.6,0.2,0.0,0.0,0.4,100.0,0.42676000000000003,2012,Mc Dade
78652,4687,27.8,67.0,3.1,0.0,1.3,0.7,99.89999999999999,0.472637,2012,San Leanna
78653,15783,48.2,27.1,22.4,0.0,1.1,1.2,100.00000000000001,0.643794,2012,Manor
78655,3684,60.6,33.4,5.1,0.0,0.0,0.9,100.0,0.518526,2012,Martindale
78656,2445,76.0,22.9,1.2,0.0,0.0,0.0,100.10000000000001,0.369815,2012,Maxwell
78659,2799,7.4,91.5,0.6,0.0,0.5,0.0,100.0,0.15723799999999988,2012,Paige
78660,70407,30.2,43.7,14.9,0.3,9.4,1.6,100.10000000000001,0.686525,2012,Pflugerville
78661,260,31.9,48.5,19.6,0.0,0.0,0.0,100.0,0.624598,2012,Prairie Lea
78662,2818,15.3,82.6,0.0,0.0,0.0,2.1,99.99999999999999,0.2938740000000001,2012,Red Rock
78664,54864,35.6,45.8,11.9,0.3,3.7,2.7,100.00000000000001,0.647232,2012,Round Rock
78665,33133,22.6,60.3,8.6,0.2,6.7,1.5,99.9,0.5732010000000001,2012,Round Rock
78666,63255,41.2,50.2,5.1,0.4,1.5,1.7,100.10000000000001,0.575121,2012,San Marcos
78669,8737,9.4,88.2,1.3,0.0,0.7999999999999999,0.3,100.0,0.2129979999999999,2012,Spicewood
78676,12177,7.2,89.4,0.8,0.8,0.3,1.6,100.1,0.1951869999999999,2012,Wimberley
78681,53229,18.8,66.2,4.2,0.7,7.4,2.7,100.00000000000001,0.518394,2012,Round Rock
78701,5642,14.1,70.3,5.7,0.0,8.0,1.9,100.0,0.4759000000000001,2012,Austin
