Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,3886,27.9,72.1,0.0,0.0,0.0,0.0,100.0,0.40231800000000006,2017,Florence
76530,2190,20.2,74.4,3.3,0.0,0.0,2.1,100.0,0.4041299999999999,2017,Granger
76537,4921,32.4,62.5,3.0,0.0,0.5,1.5999999999999999,100.0,0.503218,2017,Jarrell
76573,22,81.8,18.2,0.0,0.0,0.0,0.0,100.0,0.297752,2017,Schwertner
76574,18939,40.3,47.2,9.3,0.1,0.6,2.6,100.09999999999998,0.605445,2017,Taylor
76578,1422,29.4,66.5,3.7,0.0,0.0,0.4,100.00000000000001,0.469954,2017,Thrall
78602,28027,30.5,59.3,7.0,0.7,1.4,1.1,100.0,0.55006,2017,Bastrop
78610,32692,39.5,52.4,3.9,0.0,1.8,2.3,99.9,0.5670249999999999,2017,Buda
78612,12484,44.1,46.0,8.3,0.3,0.6,0.8,100.09999999999998,0.586921,2017,Cedar Creek
78613,77779,18.6,66.3,3.1,0.2,8.299999999999999,3.5,100.0,0.5167560000000002,2017,Cedar Park
78615,931,20.4,77.6,1.6,0.0,0.0,0.4,100.0,0.35593600000000014,2017,Coupland
78616,7518,57.8,35.3,3.6,0.4,0.0,2.9,100.0,0.5391540000000001,2017,Cedar Creek
78617,27900,72.8,14.4,9.4,0.1,1.6,1.7999999999999998,100.1,0.439863,2017,Austin
78619,4124,12.6,81.5,0.3,4.2,0.8,0.6,99.99999999999999,0.31802600000000003,2017,Driftwood
78620,15452,16.8,79.9,0.5,0.2,0.7,2.0,100.10000000000001,0.332897,2017,Dripping Springs
78621,22261,39.2,46.2,12.5,0.0,0.4,1.7000000000000002,100.00000000000001,0.616962,2017,Elgin
78622,200,40.0,59.5,0.5,0.0,0.0,0.0,100.0,0.48595,2017,Fentress
78626,32529,33.0,58.9,5.6,0.0,1.1,1.4000000000000001,100.0,0.540726,2017,Georgetown
78628,30322,15.1,78.9,2.4,0.2,0.8,2.6,100.0,0.35335799999999995,2017,Georgetown
78633,24727,6.0,90.2,0.9,0.5,1.4,1.1,100.10000000000001,0.1823729999999999,2017,Georgetown
78634,29770,32.2,50.8,12.9,0.1,1.7,2.3,100.0,0.620792,2017,Hutto
78640,52981,53.8,39.8,4.1,0.2,0.6,1.5,99.99999999999999,0.5502060000000002,2017,Kyle
78641,60135,24.0,66.3,3.6,0.4,2.7,3.1,100.1,0.4998290000000001,2017,Leander
